Season,Name,Team,Pos,FRM,OAA,FRV,Def,Inn,NameASCII,PlayerId,MLBAMID
2012,"Adam Jones","BAL","CF",,,,-3.5318308871936646,1458,"Adam Jones",6368,430945
2014,"Freddie Freeman","ATL","1B",,,,-8.799079227029907,1449,"Freddie Freeman",5361,518692
2013,"Paul Goldschmidt","ARI","1B",,,,-9.538988343388459,1446,"Paul Goldschmidt",9218,502671
2024,"Matt Olson","ATL","1B",,4,4,-8.306266404525477,1443.1,"Matt Olson",14344,621566
2022,"Matt Olson","ATL","1B",,3,2,-9.492242867809875,1441,"Matt Olson",14344,621566
2012,"J.J. Hardy","BAL","SS",,,,18.79579238700261,1439,"J.J. Hardy",3797,429666
2013,"Jay Bruce","CIN","RF",,,,1.4421352610815434,1438.2,"Jay Bruce",9892,457803
2019,"Marcus Semien","OAK","SS",,-4,-3,4.0438111248558215,1435,"Marcus Semien",12533,543760
2014,"Alcides Escobar","KCR","SS",,,,13.145395072921753,1433.2,"Alcides Escobar",6310,444876
2022,"Dansby Swanson","ATL","SS",,20,18,22.03096463801734,1433,"Dansby Swanson",18314,621020
2011,"Dan Uggla","ATL","2B",,,,-9.634814462018875,1431.2,"Dan Uggla",3442,462564
2013,"Hunter Pence","SFG","RF",,,,-10.86015316989296,1431.1,"Hunter Pence",8252,452254
2013,"Joey Votto","CIN","1B",,,,-13.38752637683824,1430.2,"Joey Votto",4314,458015
2015,"Anthony Rizzo","CHC","1B",,,,-10.715128984588835,1430.1,"Anthony Rizzo",3473,519203
2016,"Jonathan Schoop","BAL","2B",,12,13,12.211006686110046,1429,"Jonathan Schoop",11265,570731
2025,"Matt Olson","ATL","1B",,9,8,-4.206103175515523,1429,"Matt Olson",14344,621566
2011,"Joey Votto","CIN","1B",,,,-5.2172791649656975,1427.2,"Joey Votto",4314,458015
2023,"Matt Olson","ATL","1B",,-4,-3,-13.335511062332598,1426,"Matt Olson",14344,621566
2013,"Kyle Seager","SEA","3B",,,,1.0820546519104002,1425,"Kyle Seager",9785,572122
2014,"Hunter Pence","SFG","RF",,,,-7.885468948550498,1425,"Hunter Pence",8252,452254
2025,"Geraldo Perdomo","ARI","SS",,5,3,9.031476917700754,1425,"Geraldo Perdomo",22799,672695
2012,"Alex Gordon","KCR","LF",,,,2.1518010334638067,1424.1,"Alex Gordon",5209,460086
2018,"Marcus Semien","OAK","SS",,1,0,5.7293850907949935,1423.2,"Marcus Semien",12533,543760
2015,"Kyle Seager","SEA","3B",,,,3.8384389783924027,1421,"Kyle Seager",9785,572122
2013,"Starlin Castro","CHC","SS",,,,3.425857246662689,1418,"Starlin Castro",4579,516770
2023,"Alex Bregman","HOU","3B",,0,1,1.8670778934842698,1417.1,"Alex Bregman",17678,608324
2010,"Chone Figgins","SEA","2B",,,,-8.709670897262589,1417,"Chone Figgins",1580,408210
2013,"J.J. Hardy","BAL","SS",,,,12.904753534582275,1417,"J.J. Hardy",3797,429666
