Season,Name,Team,IP,ERA,xERA,FIP,xFIP,WAR,RA9-WAR,ERA-,FIP-,xFIP-,NameASCII,PlayerId,MLBAMID
2012,"Randall Delgado","ATL",1,0,,-2.9055479049682615,-2.9055479049682615,0.05416411533951759,0.03324452415108681,0,-74.14778848674483,-72.46358096481048,"Randall Delgado",5985,517414
2010,"Jeff Niemann","TBR",1,0,,-2.922157573699951,-2.922157573699951,0.14284950494766235,0.09209981560707092,0,-73.27379119238807,-71.37327861278361,"Jeff Niemann",8591,435298
2014,"Rubby De La Rosa","BOS",1.2,0,,-1.6677383327672093,-0.9261649406285271,0.07905112951993942,0.05986028164625168,0,-43.342134449027725,-23.472637961654026,"Rubby De La Rosa",3862,523989
2025,"Logan Allen","CLE",1,0,0.9544199761000189,-0.8648636817932127,-0.8648636817932127,0.05805104598402977,0.05339944362640381,0,-23.46539230494254,-23.17513961506295,"Logan Allen",27589,671106
2025,"Doug Nikhazy","CLE",1,0,0.23533166482280135,-0.8648636817932127,-0.8648636817932127,0.049364712089300156,0.045351218432188034,0,-23.46539230494254,-23.17513961506295,"Doug Nikhazy",30142,680951
2015,"J.A. Happ","SEA",1,0,0.16453700365792728,-0.8664062499999998,-0.8664062499999998,0.04611187055706978,0.04179879650473595,0,-22.697073463318382,-22.31910177493796,"J.A. Happ",7410,457918
2015,"Trevor Bauer","CLE",1,0,2.2252527772759043,-0.8664062499999998,-0.8664062499999998,0.03356761112809181,0.030348114669322968,0,-22.266020753268588,-22.31910177493796,"Trevor Bauer",12703,545333
2012,"Mike Fiers","MIL",1,0,,-0.9055479049682615,-0.9055479049682615,0.032481178641319275,0.02953883446753025,0,-21.05580596208511,-21.844101493027622,"Mike Fiers",7754,571666
2018,"Alex Blandino","CIN",1,0,1.5008247556583354,-0.8395684242248533,-0.8395684242248533,0.030173735693097115,0.027643462643027306,0,-21.117303529445234,-21.724679052828833,"Alex Blandino",16271,607468
2015,"Keyvius Sampson","CIN",1,0,0.062215775277402,-0.8664062499999998,-0.8664062499999998,0.02979225665330887,0.02691550925374031,0,-20.97083291285225,-21.407768597116945,"Keyvius Sampson",10039,572102
2022,"Javier Assad","CHC",1,9,1.507309036932555,-0.8875689983367918,-0.8875689983367918,0.04376643896102905,-0.037262991070747375,229.43985078124393,-20.84214552485274,-20.38394722171868,"Javier Assad",21741,665871
2017,"Eduardo Rodriguez","BOS",1,0,0.07439986956972794,-0.8423603057861326,-0.8423603057861326,0.032909244298934937,0.03026655688881874,0,-19.86643975433671,-19.64086377636984,"Eduardo Rodriguez",13164,593958
2025,"Grant Holmes","ATL",1,0,0.3547166025496344,-0.8648636817932127,-0.8648636817932127,0.032733023166656494,0.030068108811974525,0,-18.85274301799798,-18.486589638127715,"Grant Holmes",16944,656550
2019,"CC Sabathia","NYY",1,0,0.07492025076678409,-0.785990524291992,-0.785990524291992,0.06649257242679596,0.06330447643995285,0,-15.859485423949653,-16.136596043142323,"CC Sabathia",404,282332
2021,"Andrew Vasquez","LAD",1.2,0,0.37987567281716056,-0.4299672508244985,-0.4299672508244985,0.1452646255493164,-0.021915780380368233,0,-11.090464650273226,-11.226765148892296,"Andrew Vasquez",19482,607755
2025,"Roki Sasaki","LAD",2,0,1.0936424292488456,-0.8648636817932127,-0.09399402439594251,0.1509321928024292,0.1413264274597168,0,-17.96011674217361,-0.23200201275402904,"Roki Sasaki",35323,808963
