Season,Name,Team,IP,ERA,xERA,FIP,xFIP,WAR,RA9-WAR,ERA-,FIP-,xFIP-,NameASCII,PlayerId,MLBAMID
2022,"Caleb Ferguson","LAD",1,0,0,-2.887568998336792,-2.887568998336792,0.09443921595811844,0.06516002863645554,0,-68.6693945777967,-69.72335409304475,"Caleb Ferguson",19349,657571
2021,"Sam Howard","PIT",1,0,0,-2.829965877532959,-2.829965877532959,0.09434725344181061,0.06595966219902039,0,-68.35083898705825,-68.29470703646743,"Sam Howard",16265,607572
2023,"Sam Moll","OAK",1,0,1.843928364408174,-2.7449596405029295,-1.0916078865528105,0.09646632522344589,0.06801384687423706,0,-66.53932020665275,-25.609607893137902,"Sam Moll",14874,594580
2025,"Danny Coulombe","MIN",1,9,7.329745275702971,-0.8648636817932127,-0.8648636817932127,0.0698450580239296,-0.03747972100973129,218.05077612484268,-23.176804256510557,-23.17513961506295,"Danny Coulombe",13293,543056
2022,"Steven Wilson","SDP",1,0,0.1455974594285806,-0.8875689983367918,-0.8875689983367918,0.07055891305208206,0.0664571225643158,0,-20.512434075376724,-20.38394722171868,"Steven Wilson",20353,621051
2025,"Rob Zastryzny","MIL",1,0,0.7991258763822411,-0.8648636817932127,-0.8648636817932127,0.070161834359169,0.0660596713423729,0,-18.454650534945596,-18.486589638127715,"Rob Zastryzny",15094,642239
2025,"Reed Garrett","NYM",1,0,0.7045714085314756,-0.8648636817932127,-0.8648636817932127,0.06976519525051117,0.065641850233078,0,-18.600727028150832,-18.486589638127715,"Reed Garrett",16866,657585
2023,"Jimmy Herget","LAA",1,0,0.8964053872194916,-0.7449596405029295,-0.7449596405029295,0.07069478929042816,0.06798357516527176,0,-17.284901971892985,-17.51084014734713,"Jimmy Herget",17556,623474
2023,"Matt Koch","COL",1,0,0.6195568521808962,-0.7449596405029295,-0.7449596405029295,0.07044169306755066,0.06785096973180771,0,-16.051843297361366,-16.89115914222803,"Matt Koch",13420,571863
2023,"Fernando Cruz","CIN",3,3.0000009536746197,1.1569830309034375,-1.078294351366269,-0.527176924854051,0.22692395746707916,0.007911046035587788,65.46268097087372,-23.325481730799638,-11.92273040366136,"Fernando Cruz",7048,518585
2011,"Matt Moore","TBR",5,0,,-0.7746137142181393,-0.27211079001426697,0.4382592737674713,0.3815394341945648,0,-18.46748036004331,-5.782835146858079,"Matt Moore",1890,519043
2018,"Jerad Eickhoff","PHI",3.1,5.400005536085082,5.0324128571395,2.2604306530942995,-0.1531182329688492,0.11524869501590729,0.004411283414810896,134.24211741822882,53.59376160798946,-4.690753182459203,"Jerad Eickhoff",12664,595191
