retro_id,city,nickname,season,vegas_name
ANA,Anaheim,Angels,1997,Los Angeles Angels
ANA,Anaheim,Angels,1998,Los Angeles Angels
ANA,Anaheim,Angels,1999,Los Angeles Angels
ANA,Anaheim,Angels,2000,Los Angeles Angels
ANA,Anaheim,Angels,2001,Los Angeles Angels
ANA,Anaheim,Angels,2002,Los Angeles Angels
ANA,Anaheim,Angels,2003,Los Angeles Angels
ANA,Anaheim,Angels,2004,Los Angeles Angels
ANA,Anaheim,Angels,2005,Los Angeles Angels
ANA,Anaheim,Angels,2006,Los Angeles Angels
ANA,Anaheim,Angels,2007,Los Angeles Angels
ANA,Anaheim,Angels,2008,Los Angeles Angels
ANA,Anaheim,Angels,2009,Los Angeles Angels
ANA,Anaheim,Angels,2010,Los Angeles Angels
ANA,Anaheim,Angels,2011,Los Angeles Angels
ANA,Anaheim,Angels,2012,Los Angeles Angels
ANA,Anaheim,Angels,2013,Los Angeles Angels
ANA,Anaheim,Angels,2014,Los Angeles Angels
ANA,Anaheim,Angels,2015,Los Angeles Angels
ANA,Anaheim,Angels,2016,Los Angeles Angels
ANA,Anaheim,Angels,2017,Los Angeles Angels
ANA,Anaheim,Angels,2018,Los Angeles Angels
ANA,Anaheim,Angels,2019,Los Angeles Angels
ANA,Anaheim,Angels,2020,Los Angeles Angels
ANA,Anaheim,Angels,2021,Los Angeles Angels
ANA,Anaheim,Angels,2022,Los Angeles Angels
ANA,Anaheim,Angels,2023,Los Angeles Angels
ANA,Anaheim,Angels,2024,Los Angeles Angels
ARI,Arizona,Diamondbacks,1998,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,1999,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2000,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2001,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2002,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2003,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2004,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2005,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2006,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2007,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2008,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2009,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2010,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2011,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2012,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2013,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2014,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2015,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2016,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2017,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2018,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2019,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2020,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2021,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2022,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2023,Arizona Diamondbacks
ARI,Arizona,Diamondbacks,2024,Arizona Diamondbacks
ATL,Atlanta,Braves,1990,Atlanta Braves
ATL,Atlanta,Braves,1991,Atlanta Braves
ATL,Atlanta,Braves,1992,Atlanta Braves
ATL,Atlanta,Braves,1993,Atlanta Braves
ATL,Atlanta,Braves,1994,Atlanta Braves
ATL,Atlanta,Braves,1995,Atlanta Braves
ATL,Atlanta,Braves,1996,Atlanta Braves
ATL,Atlanta,Braves,1997,Atlanta Braves
ATL,Atlanta,Braves,1998,Atlanta Braves
ATL,Atlanta,Braves,1999,Atlanta Braves
ATL,Atlanta,Braves,2000,Atlanta Braves
ATL,Atlanta,Braves,2001,Atlanta Braves
ATL,Atlanta,Braves,2002,Atlanta Braves
ATL,Atlanta,Braves,2003,Atlanta Braves
ATL,Atlanta,Braves,2004,Atlanta Braves
ATL,Atlanta,Braves,2005,Atlanta Braves
ATL,Atlanta,Braves,2006,Atlanta Braves
ATL,Atlanta,Braves,2007,Atlanta Braves
ATL,Atlanta,Braves,2008,Atlanta Braves
ATL,Atlanta,Braves,2009,Atlanta Braves
ATL,Atlanta,Braves,2010,Atlanta Braves
ATL,Atlanta,Braves,2011,Atlanta Braves
ATL,Atlanta,Braves,2012,Atlanta Braves
ATL,Atlanta,Braves,2013,Atlanta Braves
ATL,Atlanta,Braves,2014,Atlanta Braves
ATL,Atlanta,Braves,2015,Atlanta Braves
ATL,Atlanta,Braves,2016,Atlanta Braves
ATL,Atlanta,Braves,2017,Atlanta Braves
ATL,Atlanta,Braves,2018,Atlanta Braves
ATL,Atlanta,Braves,2019,Atlanta Braves
ATL,Atlanta,Braves,2020,Atlanta Braves
ATL,Atlanta,Braves,2021,Atlanta Braves
ATL,Atlanta,Braves,2022,Atlanta Braves
ATL,Atlanta,Braves,2023,Atlanta Braves
ATL,Atlanta,Braves,2024,Atlanta Braves
BAL,Baltimore,Orioles,1990,Baltimore Orioles
BAL,Baltimore,Orioles,1991,Baltimore Orioles
BAL,Baltimore,Orioles,1992,Baltimore Orioles
BAL,Baltimore,Orioles,1993,Baltimore Orioles
BAL,Baltimore,Orioles,1994,Baltimore Orioles
BAL,Baltimore,Orioles,1995,Baltimore Orioles
BAL,Baltimore,Orioles,1996,Baltimore Orioles
BAL,Baltimore,Orioles,1997,Baltimore Orioles
BAL,Baltimore,Orioles,1998,Baltimore Orioles
BAL,Baltimore,Orioles,1999,Baltimore Orioles
BAL,Baltimore,Orioles,2000,Baltimore Orioles
BAL,Baltimore,Orioles,2001,Baltimore Orioles
BAL,Baltimore,Orioles,2002,Baltimore Orioles
BAL,Baltimore,Orioles,2003,Baltimore Orioles
