Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Chad Fox",,0,0,,5.142857142857143,8,0,,,,7,,7,4,4,1,3,,,5,6.428571428571429,3.857142857142857,1.6666666666666667,1.2857142857142858,,,,,1.4285714285714286,,0.6976744186046512,,,,-0.005059297487605363,,,,,,,,,22.3,3.185714285714286,23,3.2857142857142856,,,,,,,,,,,,,,,,,,,"Chad Fox","684",114354
"Scott Williamson",,1,1,,4.5,13,0,,,,14,,14,8,7,2,6,,,12,7.714285714285714,3.857142857142857,2,1.2857142857142858,,,,,1.4285714285714286,,0.6976744186046512,,,,-0.010118594975210726,,,,,,,,,48.6,3.4714285714285715,50,3.5714285714285716,,,,,,,,,,,,,,,,,,,"Scott Williamson","361",150182
"Tyler Johnson",,0,1,,5.17020164568121,22,0,,,,15.66670036315918,,16,10,9,2,7,,,10,5.744668495201345,4.021267946640941,1.4285714285714286,1.1489336990402688,,,,,1.468081948773677,,0.6435643564356436,,,,-0.011323213969485324,,,,,,,,,48.73358268737794,3.1106475235829967,51.3335018157959,3.276599451439597,,,,,,,,,,,,,,,,,,,"Tyler Johnson","3404",431164
"Armando Benitez",,2,2,,5.2105263157894735,20,0,,,,19,,19,12,11,4,8,,,18,8.526315789473685,3.789473684210526,2.25,1.894736842105263,,,,,1.4210526315789473,,0.7009345794392524,,,,-0.013732378894928843,,,,,,,,,53.99999999999999,2.8421052631578942,55,2.8947368421052633,,,,,,,,,,,,,,,,,,,"Armando Benitez","865",110859
"Tom Gordon",,1,2,,5.4,21,0,,,,20,,22,13,12,2,14,,,13,5.85,6.3,0.9285714285714286,0.9,,,,,1.8,,0.6927710843373494,,,,-0.014455135678872466,,,,,,,,,50.2,2.5100000000000002,58,2.9,,,,,,,,,,,,,,,,,,,"Tom Gordon","282",114971
"Casey Weathers",,1,1,,5.062507996348256,23,0,,,,21.33329963684082,,20,13,12,3,16,,,19,8.015637660884739,6.750010661797675,1.1875,1.265626999087064,,,,,1.6875026654494187,,0.7232704402515723,,,,-0.015418787036428738,,,,,,,,,58.96641731262207,2.7640551774181246,57.6664981842041,2.70312137202718,,,,,,,,,,,,,,,,,,,"Casey Weathers","sa327842",502255
"Henry Barrera",,0,1,,5.086956521739131,20,0,,,,23,,24,14,13,2,16,,,20,7.826086956521739,6.260869565217392,1.25,0.782608695652174,,,,,1.7391304347826086,,0.6989247311827956,,,,-0.016623406030703336,,,,,,,,,75.20000000000002,3.269565217391305,81,3.5217391304347827,,,,,,,,,,,,,,,,,,,"Henry Barrera","sa272552",451572
"Humberto Sanchez",,2,2,,5.323936081775818,19,3,,,,23.66670036315918,,25,15,14,3,13,,,15,5.70421723047409,4.9436549330775446,1.1538461538461537,1.140843446094818,,,,,1.6056315167260402,,0.6804733727810651,,,,-0.01710526824103431,,,,,,,,,64.23358268737792,2.7140911788179505,70.3335018157959,2.9718338736092123,,,,,,,,,,,,,,,,,,,"Humberto Sanchez","4303",458008
"Chad Cordero",,1,1,,4.378372397197593,25,0,,,,24.66670036315918,,24,13,12,3,10,,,19,6.932422962229523,3.6486436643313276,1.9,1.0945930992993982,,,,,1.3783764954140572,,0.7046979865771812,,,,-0.017828025024977934,,,,,,,,,91.23358268737792,3.698653704961664,92.3335018157959,3.7432449600636537,,,,,,,,,,,,,,,,,,,"Chad Cordero","1816",430101
"Pat Neshek",,2,1,,4.207786683597956,30,0,,,,25.66670036315918,,22,13,12,3,10,,,28,9.81816892839523,3.506488902998296,2.8,1.051946670899489,,,,,1.2467516099549498,,0.6834532374100719,,,,-0.018550781808921557,,,,,,,,,121.83358268737793,4.7467567300646225,115.3335018157959,4.4935071584558015,,,,,,,,,,,,,,,,,,,"Pat Neshek","4682",450212
"Derrick Turnbow",,1,3,,5.810134017005218,29,0,,,,26.33329963684082,,24,18,17,2,29,,,25,8.544314730890026,9.911405087832431,0.8620689655172413,0.6835451784712021,,,,,2.0126608032763174,,0.697211155378486,,,,-0.019032570956146855,,,,,,,,,70.86641731262208,2.6911332149761633,68.6664981842041,2.6075918753507925,,,,,,,,,,,,,,,,,,,"Derrick Turnbow","1694",276913
"Troy Percival",,1,1,,4.609761780468414,30,0,,,,27.33329963684082,,25,15,14,4,13,,,22,7.243911369307508,4.280493081863527,1.6923076923076923,1.317074794419547,,,,,1.390245616331744,,0.7098765432098766,,,,-0.019755327740090478,,,,,,,,,93.0664173126221,3.404873123594042,89.6664981842041,3.2804856850633692,,,,,,,,,,,,,,,,,,,"Troy Percival","29",120401
"Blaine Neal",,1,2,,5.896551724137931,28,0,,,,29,,33,20,19,5,15,,,17,5.275862068965517,4.655172413793103,1.1333333333333333,1.5517241379310345,,,,,1.6551724137931034,,0.6829268292682927,,,,-0.020959946734365076,,,,,,,,,56.300000000000026,1.9413793103448285,69,2.3793103448275863,,,,,,,,,,,,,,,,,,,"Blaine Neal","1468",346862
"Jackson Quezada",,2,2,,3.6818224112898177,29,0,,,,29.33329963684082,,27,13,12,2,12,,,24,7.363644822579635,3.6818224112898177,2,0.6136370685483029,,,,,1.3295469818546564,,0.718232044198895,,,,-0.021200841307977725,,,,,,,,,134.26641731262208,4.577269484677807,132.6664981842041,4.522726724462431,,,,,,,,,,,,,,,,,,,"Jackson Quezada","sa328301",503355
"Carmen Pignatiello",,1,1,,5.157297512938078,30,0,,,,29.66670036315918,,33,18,17,4,12,,,18,5.460667954875611,3.6404453032504076,1.5,1.213481767750136,,,,,1.51685220968767,,0.6852791878172589,,,,-0.02144180894469605,,,,,,,,,84.53358268737794,2.849443370936991,96.3335018157959,3.2471930021386926,,,,,,,,,,,,,,,,,,,"Carmen Pignatiello","3088",450320
"Justin Hampson",,2,2,,4.853927071000544,27,0,,,,29.66670036315918,,33,17,16,4,11,,,20,6.06740883875068,3.337074861312874,1.8181818181818181,1.213481767750136,,,,,1.4831443828057216,,0.703125,,,,-0.02144180894469605,,,,,,,,,91.53358268737794,3.0853981591106283,103.3335018157959,3.48314779031233,,,,,,,,,,,,,,,,,,,"Justin Hampson","2209",430618
"Jon Coutlangus",,1,2,,5.157297512938078,30,0,,,,29.66670036315918,,32,18,17,4,18,,,21,6.370779280688214,5.460667954875611,1.1666666666666667,1.213481767750136,,,,,1.6853913440974109,,0.7207207207207208,,,,-0.02144180894469605,,,,,,,,,75.13358268737794,2.5325897982466774,84.3335018157959,2.842699079555314,,,,,,,,,,,,,,,,,,,"Jon Coutlangus","6182",459403
"Ambiorix Burgos",,1,2,,4.935483870967742,27,0,,,,31,,30,18,17,6,16,,,34,9.870967741935484,4.645161290322581,2.125,1.7419354838709677,,,,,1.4838709677419355,,0.7446808510638298,,,,-0.022405460302252322,,,,,,,,,97.59999999999997,3.1483870967741923,97,3.129032258064516,,,,,,,,,,,,,,,,,,,"Ambiorix Burgos","3246",434586
"Devon Lowery",,1,1,,5.457452677564254,20,0,,,,31.33329963684082,,34,20,19,4,19,,,19,5.457452677564254,5.457452677564254,1,1.1489374058030009,,,,,1.691491180765529,,0.6962025316455697,,,,-0.02264635487586497,,,,,,,,,75.26641731262205,2.402122284756946,85.6664981842041,2.7340401163329706,,,,,,,,,,,,,,,,,,,"Devon Lowery","3500",434587
"Mike Timlin",,1,1,,4.5473635822041185,29,0,,,,31.66670036315918,,32,17,16,4,10,,,23,6.536835149418421,2.8421022388775743,2.3,1.1368408955510296,,,,,1.326314378142868,,0.6868131868131868,,,,-0.022887322512583297,,,,,,,,,117.93358268737795,3.724214437718338,122.3335018157959,3.8631591044489704,,,,,,,,,,,,,,,,,,,"Mike Timlin","1187",123348
"Nick Regilio",,1,2,,5.34375,25,0,,,,32,,34,20,19,4,20,,,22,6.1875,5.625,1.1,1.125,,,,,1.6875,,0.7024793388429752,,,,-0.023128217086195946,,,,,,,,,83.20000000000002,2.6000000000000005,92,2.875,,,,,,,,,,,,,,,,,,,"Nick Regilio","2226",430651
"B.J. Ryan",,2,2,,4.5,34,0,,,,32,,30,17,16,4,17,,,28,7.875,4.78125,1.6470588235294117,1.125,,,,,1.46875,,0.7246376811594203,,,,-0.023128217086195946,,,,,,,,,114.60000000000002,3.5812500000000007,113,3.53125,,,,,,,,,,,,,,,,,,,"B.J. Ryan","168",124805
"Cesar Jimenez",,2,1,,4.175261836948431,26,1,,,,32.33330154418945,,31,16,15,3,13,,,24,6.68041893911749,3.6185602586886403,1.8461538461538463,0.8350523673896862,,,,,1.3608260801905998,,0.7035175879396985,,,,-0.02336911303835776,,,,,,,,,130.76643142700198,4.044326597711817,131.66650772094727,4.072164036233682,,,,,,,,,,,,,,,,,,,"Cesar Jimenez","3762",462945
"Shane Lindsay",,2,3,,4.959178847508676,34,0,,,,32.66669845581055,,30,19,18,3,28,,,30,8.265298079181127,7.7142782072357186,1.0714285714285714,0.8265298079181127,,,,,1.7755084762685385,,0.724907063197026,,,,-0.023610077917977756,,,,,,,,,102.83356857299802,3.1479633214879303,100.33349227905273,3.0714304481910704,,,,,,,,,,,,,,,,,,,"Shane Lindsay","3881",469834
"Rudy Seanez",,2,3,,4.959178847508676,33,0,,,,32.66669845581055,,35,19,18,4,15,,,23,6.336728527372197,4.1326490395905635,1.5333333333333334,1.102039743890817,,,,,1.5306107554039123,,0.6981981981981982,,,,-0.023610077917977756,,,,,,,,,102.53356857299804,3.1387796569555073,112.33349227905273,3.4387770294880093,,,,,,,,,,,,,,,,,,,"Rudy Seanez","1279",121955
"Brendan Donnelly",,2,1,,3.8181818181818183,37,0,,,,33,,32,15,14,3,12,,,27,7.363636363636363,3.272727272727273,2.25,0.8181818181818182,,,,,1.3333333333333333,,0.7286432160804021,,,,-0.02385097387013957,,,,,,,,,142.10000000000002,4.306060606060607,144,4.363636363636363,,,,,,,,,,,,,,,,,,,"Brendan Donnelly","1441",407791
"Drew Storen",,2,1,,3.7800036048923538,29,0,,,,33.33330154418945,,32,15,14,4,12,,,32,8.640008239753952,3.240003089907732,2.6666666666666665,1.080001029969244,,,,,1.3200012588512982,,0.7552083333333334,,,,-0.02409186982230138,,,,,,,,,142.26643142700198,4.267997013089193,142.66650772094727,4.279999313353837,,,,,,,,,,,,,,,,,,,"Drew Storen","6983",519322
"Matt Nevarez",,2,3,,5.029411764705882,38,0,,,,34,,33,20,19,4,25,,,34,9,6.617647058823529,1.36,1.0588235294117647,,,,,1.7058823529411764,,0.7251908396946565,,,,-0.024573730654083192,,,,,,,,,109.60000000000004,3.223529411764707,111,3.264705882352941,,,,,,,,,,,,,,,,,,,"Matt Nevarez","sa291749",457764
"Zach Braddock",,3,2,,4.235294117647059,32,0,,,,34,,28,17,16,4,22,,,40,10.588235294117647,5.823529411764706,1.8181818181818181,1.0588235294117647,,,,,1.4705882352941178,,0.7432432432432433,,,,-0.024573730654083192,,,,,,,,,143.60000000000002,4.223529411764707,132,3.8823529411764706,,,,,,,,,,,,,,,,,,,"Zach Braddock","4553",488722
"Mike Zagurski",,1,1,,4.456314805701918,33,1,,,,34.33330154418945,,32,18,17,4,18,,,34,8.912629611403837,4.718450970743207,1.8888888888888888,1.0485446601651573,,,,,1.4563120280071629,,0.7207207207207208,,,,-0.024814626606245005,,,,,,,,,135.66643142700195,3.9514531176790384,133.66650772094727,3.8932028587145564,,,,,,,,,,,,,,,,,,,"Mike Zagurski","9683",489448
"Alfredo Simon",,1,3,,8.12622111627997,8,7,,,,34.33330154418945,,48,34,31,10,15,,,16,4.194178640660629,3.93204247561934,1.0666666666666667,2.621361650412893,,,,,1.8349531552890253,,0.5918367346938775,,,,-0.024814626606245005,,,,,,,,,-6.733568572998081,-0.19612353808536268,28.666507720947266,0.8349475998995141,,,,,,,,,,,,,,,,,,,"Alfredo Simon","2155",430580
"Christian Garcia",,2,2,,5.242723300825786,8,7,,,,34.33330154418945,,36,22,20,4,23,,,26,6.815540291073522,6.029131795949654,1.1304347826086956,1.0485446601651573,,,,,1.7184481930484523,,0.6928838951310862,,,,-0.024814626606245005,,,,,,,,,94.26643142700193,2.7456267584891068,102.66650772094727,2.990289401350115,,,,,,,,,,,,,,,,,,,"Christian Garcia","4067",451600
"Jason Isringhausen",,1,2,,4.413457491345138,35,0,,,,34.66669845581055,,34,18,17,3,18,,,24,6.230763517193137,4.673072637894853,1.3333333333333333,0.7788454396491421,,,,,1.4999986245094588,,0.7112970711297072,,,,-0.025055591485865003,,,,,,,,,125.23356857299802,3.6125034731136156,128.33349227905273,3.70192426725143,,,,,,,,,,,,,,,,,,,"Jason Isringhausen","1158",116414
"Justin Dowdy",,1,3,,6.7499938102925645,26,1,,,,34.66669845581055,,42,28,26,5,28,,,20,5.1923029309942805,7.269224103391993,0.7142857142857143,1.2980757327485701,,,,,2.0192289176088867,,0.6666666666666666,,,,-0.025055591485865003,,,,,,,,,41.83356857299803,1.2067364484195995,64.33349227905273,1.855772114009019,,,,,,,,,,,,,,,,,,,"Justin Dowdy","sa200906",458986
"Vinnie Chulk",,2,2,,4.673072637894853,32,1,,,,34.66669845581055,,37,19,18,4,15,,,22,5.711533224093708,3.8942271982457104,1.4666666666666666,1.038460586198856,,,,,1.4999986245094588,,0.7112068965517242,,,,-0.025055591485865003,,,,,,,,,110.13356857299804,3.176926949457985,120.33349227905273,3.4711552480961285,,,,,,,,,,,,,,,,,,,"Vinnie Chulk","1838",425562
"Luis Pena",,2,3,,5.4,30,0,,,,35,,36,23,21,4,25,,,21,5.4,6.428571428571429,0.84,1.0285714285714285,,,,,1.7428571428571429,,0.6859205776173285,,,,-0.025296487438026816,,,,,,,,,83.2,2.3771428571428572,90,2.5714285714285716,,,,,,,,,,,,,,,,,,,"Luis Pena","sa200669",434524
"Scott Eyre",,2,2,,4.330192575088154,44,0,,,,35.33330154418945,,35,18,17,4,17,,,30,7.641516308979097,4.330192575088154,1.7647058823529411,1.0188688411972129,,,,,1.471699437284863,,0.7327586206896552,,,,-0.025537383390188628,,,,,,,,,130.26643142700198,3.6867891120812692,133.66650772094727,3.78301777301444,,,,,,,,,,,,,,,,,,,"Scott Eyre","1300",113961
"Eric Gagne",,3,2,,4.289715802811415,38,0,,,,35.66669845581055,,34,18,17,5,16,,,33,8.327095381928041,4.037379579116626,2.0625,1.2616811184739456,,,,,1.401867909415495,,0.7441860465116279,,,,-0.025778348269808626,,,,,,,,,132.03356857299806,3.7018724549619244,131.33349227905273,3.6822441651494344,,,,,,,,,,,,,,,,,,,"Eric Gagne","650",150378
"Adam Miller",,1,2,,5.046724473895782,9,7,,,,35.66669845581055,,40,22,20,4,16,,,25,6.308405592369728,4.037379579116626,1.5625,1.0093448947791566,,,,,1.5700920585453546,,0.6746031746031746,,,,-0.025778348269808626,,,,,,,,,112.73356857299808,3.1607514419275438,128.33349227905273,3.598132090584505,,,,,,,,,,,,,,,,,,,"Adam Miller","sa243995",449089
"Billy Wagner",,2,1,,3,37,0,,,,36,,29,13,12,3,11,,,44,11,2.75,4,0.75,,,,,1.1111111111111112,,0.7541899441340782,,,,-0.02601924422197044,,,,,,,,,209.1,5.808333333333334,196,5.444444444444445,,,,,,,,,,,,,,,,,,,"Billy Wagner","578",123790
"Craig Hansen",,2,2,,4.5,31,0,,,,36,,35,19,18,3,21,,,27,6.75,5.25,1.2857142857142858,0.75,,,,,1.5555555555555556,,0.7142857142857143,,,,-0.02601924422197044,,,,,,,,,129.50000000000003,3.597222222222223,132,3.6666666666666665,,,,,,,,,,,,,,,,,,,"Craig Hansen","4798",475022
"Luis Vizcaino",,2,3,,4.706426136144705,36,0,,,,36.33330154418945,,35,20,19,5,21,,,30,7.431199162333744,5.201839413633621,1.4285714285714286,1.2385331937222908,,,,,1.5412857521877394,,0.7346938775510204,,,,-0.02626014017413225,,,,,,,,,113.36643142700194,3.120179741692973,113.66650772094727,3.1284387294863163,,,,,,,,,,,,,,,,,,,"Luis Vizcaino","714",150430
"Cody Satterwhite",,3,4,,5.645449650981512,29,0,,,,36.66669845581055,,39,25,23,5,26,,,26,6.381812648935623,6.381812648935623,1,1.2272716632568506,,,,,1.7727257358154507,,0.6896551724137931,,,,-0.02650110505375225,,,,,,,,,82.43356857299804,2.248186284684021,92.33349227905273,2.5181839698583692,,,,,,,,,,,,,,,,,,,"Cody Satterwhite","sa454441",489292
"Kevin Cameron",,1,1,,4.172723655073291,30,0,,,,36.66669845581055,,35,18,17,3,20,,,29,7.118175646889733,4.909086653027402,1.45,0.7363629979541103,,,,,1.4999986995361505,,0.7283464566929134,,,,-0.02650110505375225,,,,,,,,,141.43356857299804,3.8572757987318917,142.33349227905273,3.8818191512548696,,,,,,,,,,,,,,,,,,,"Kevin Cameron","3523",452298
"Elmer Dessens",,2,2,,4.418177987724661,34,0,,,,36.66669845581055,,37,19,18,4,13,,,23,5.645449650981512,3.1909063244678113,1.7692307692307692,0.9818173306054804,,,,,1.3636351813965004,,0.6981981981981982,,,,-0.02650110505375225,,,,,,,,,132.93356857299807,3.625457817894487,138.33349227905273,3.7727283367431497,,,,,,,,,,,,,,,,,,,"Elmer Dessens","317",113296
"Will Ohman",,1,2,,4.663632320376032,54,0,,,,36.66669845581055,,39,21,19,5,15,,,29,7.118175646889733,3.6818149897705514,1.9333333333333333,1.2272716632568506,,,,,1.4727259959082206,,0.7021276595744681,,,,-0.02650110505375225,,,,,,,,,121.43356857299804,3.3118217261732914,131.33349227905273,3.5818194113476394,,,,,,,,,,,,,,,,,,,"Will Ohman","296",349193
