retro_id,city,nickname,season,games
ANA,Anaheim,Angels,1997,82
ANA,Anaheim,Angels,1998,81
ANA,Anaheim,Angels,1999,81
ANA,Anaheim,Angels,2000,81
ANA,Anaheim,Angels,2001,81
ANA,Anaheim,Angels,2002,90
ANA,Anaheim,Angels,2003,82
ANA,Anaheim,Angels,2004,83
ANA,Anaheim,Angels,2005,87
ANA,Anaheim,Angels,2006,81
ANA,Anaheim,Angels,2007,82
ANA,Anaheim,Angels,2008,83
ANA,Anaheim,Angels,2009,86
ANA,Anaheim,Angels,2010,81
ANA,Anaheim,Angels,2011,81
ANA,Anaheim,Angels,2012,81
ANA,Anaheim,Angels,2013,81
ANA,Anaheim,Angels,2014,83
ANA,Anaheim,Angels,2015,81
ANA,Anaheim,Angels,2016,81
ANA,Anaheim,Angels,2017,81
ANA,Anaheim,Angels,2018,81
ANA,Anaheim,Angels,2019,81
ANA,Anaheim,Angels,2020,31
ANA,Anaheim,Angels,2021,82
ANA,Anaheim,Angels,2022,81
ANA,Anaheim,Angels,2023,81
ANA,Anaheim,Angels,2024,81
ARI,Arizona,Diamondbacks,1998,81
ARI,Arizona,Diamondbacks,1999,83
ARI,Arizona,Diamondbacks,2000,81
ARI,Arizona,Diamondbacks,2001,90
ARI,Arizona,Diamondbacks,2002,83
ARI,Arizona,Diamondbacks,2003,81
ARI,Arizona,Diamondbacks,2004,81
ARI,Arizona,Diamondbacks,2005,81
ARI,Arizona,Diamondbacks,2006,81
ARI,Arizona,Diamondbacks,2007,85
ARI,Arizona,Diamondbacks,2008,81
ARI,Arizona,Diamondbacks,2009,81
ARI,Arizona,Diamondbacks,2010,81
ARI,Arizona,Diamondbacks,2011,83
ARI,Arizona,Diamondbacks,2012,81
ARI,Arizona,Diamondbacks,2013,81
ARI,Arizona,Diamondbacks,2014,81
ARI,Arizona,Diamondbacks,2015,81
ARI,Arizona,Diamondbacks,2016,81
ARI,Arizona,Diamondbacks,2017,83
ARI,Arizona,Diamondbacks,2018,81
ARI,Arizona,Diamondbacks,2019,81
ARI,Arizona,Diamondbacks,2020,30
ARI,Arizona,Diamondbacks,2021,81
ARI,Arizona,Diamondbacks,2022,81
ARI,Arizona,Diamondbacks,2023,88
ARI,Arizona,Diamondbacks,2024,81
ATL,Atlanta,Braves,1990,81
ATL,Atlanta,Braves,1991,87
ATL,Atlanta,Braves,1992,88
ATL,Atlanta,Braves,1993,84
ATL,Atlanta,Braves,1994,55
ATL,Atlanta,Braves,1995,79
ATL,Atlanta,Braves,1996,89
ATL,Atlanta,Braves,1997,86
ATL,Atlanta,Braves,1998,86
ATL,Atlanta,Braves,1999,88
ATL,Atlanta,Braves,2000,82
ATL,Atlanta,Braves,2001,85
ATL,Atlanta,Braves,2002,84
ATL,Atlanta,Braves,2003,84
ATL,Atlanta,Braves,2004,84
ATL,Atlanta,Braves,2005,83
ATL,Atlanta,Braves,2006,81
ATL,Atlanta,Braves,2007,81
ATL,Atlanta,Braves,2008,81
ATL,Atlanta,Braves,2009,81
ATL,Atlanta,Braves,2010,83
ATL,Atlanta,Braves,2011,81
ATL,Atlanta,Braves,2012,82
ATL,Atlanta,Braves,2013,83
ATL,Atlanta,Braves,2014,81
ATL,Atlanta,Braves,2015,81
ATL,Atlanta,Braves,2016,81
ATL,Atlanta,Braves,2017,81
ATL,Atlanta,Braves,2018,83
ATL,Atlanta,Braves,2019,84
ATL,Atlanta,Braves,2020,37
ATL,Atlanta,Braves,2021,88
ATL,Atlanta,Braves,2022,83
ATL,Atlanta,Braves,2023,83
ATL,Atlanta,Braves,2024,81
BAL,Baltimore,Orioles,1990,80
BAL,Baltimore,Orioles,1991,81
BAL,Baltimore,Orioles,1992,81
BAL,Baltimore,Orioles,1993,81
BAL,Baltimore,Orioles,1994,55
BAL,Baltimore,Orioles,1995,72
BAL,Baltimore,Orioles,1996,87
BAL,Baltimore,Orioles,1997,86
BAL,Baltimore,Orioles,1998,81
BAL,Baltimore,Orioles,1999,81
BAL,Baltimore,Orioles,2000,81
BAL,Baltimore,Orioles,2001,80
BAL,Baltimore,Orioles,2002,81
BAL,Baltimore,Orioles,2003,81
BAL,Baltimore,Orioles,2004,81
BAL,Baltimore,Orioles,2005,81
BAL,Baltimore,Orioles,2006,81
BAL,Baltimore,Orioles,2007,81
BAL,Baltimore,Orioles,2008,80
BAL,Baltimore,Orioles,2009,81
BAL,Baltimore,Orioles,2010,81
BAL,Baltimore,Orioles,2011,81
BAL,Baltimore,Orioles,2012,83
BAL,Baltimore,Orioles,2013,81
BAL,Baltimore,Orioles,2014,85
BAL,Baltimore,Orioles,2015,78
BAL,Baltimore,Orioles,2016,81
BAL,Baltimore,Orioles,2017,81
BAL,Baltimore,Orioles,2018,81
BAL,Baltimore,Orioles,2019,81
BAL,Baltimore,Orioles,2020,33
BAL,Baltimore,Orioles,2021,81
BAL,Baltimore,Orioles,2022,81
BAL,Baltimore,Orioles,2023,83
BAL,Baltimore,Orioles,2024,83
BOS,Boston,Red Sox,1990,83
BOS,Boston,Red Sox,1991,81
BOS,Boston,Red Sox,1992,81
BOS,Boston,Red Sox,1993,81
BOS,Boston,Red Sox,1994,64
BOS,Boston,Red Sox,1995,73
BOS,Boston,Red Sox,1996,81
BOS,Boston,Red Sox,1997,81
BOS,Boston,Red Sox,1998,83
BOS,Boston,Red Sox,1999,86
BOS,Boston,Red Sox,2000,81
BOS,Boston,Red Sox,2001,81
BOS,Boston,Red Sox,2002,81
BOS,Boston,Red Sox,2003,86
BOS,Boston,Red Sox,2004,87
BOS,Boston,Red Sox,2005,82
BOS,Boston,Red Sox,2006,81
BOS,Boston,Red Sox,2007,89
BOS,Boston,Red Sox,2008,86
BOS,Boston,Red Sox,2009,82
BOS,Boston,Red Sox,2010,81
BOS,Boston,Red Sox,2011,81
BOS,Boston,Red Sox,2012,81
BOS,Boston,Red Sox,2013,89
BOS,Boston,Red Sox,2014,81
BOS,Boston,Red Sox,2015,81
BOS,Boston,Red Sox,2016,82
BOS,Boston,Red Sox,2017,83
BOS,Boston,Red Sox,2018,87
BOS,Boston,Red Sox,2019,81
BOS,Boston,Red Sox,2020,31
BOS,Boston,Red Sox,2021,87
BOS,Boston,Red Sox,2022,81
BOS,Boston,Red Sox,2023,81
BOS,Boston,Red Sox,2024,81
CAL,California,Angels,1990,81
CAL,California,Angels,1991,81
CAL,California,Angels,1992,81
CAL,California,Angels,1993,81
CAL,California,Angels,1994,63
CAL,California,Angels,1995,72
CAL,California,Angels,1996,81
CHA,Chicago,White Sox,1990,80
CHA,Chicago,White Sox,1991,81
CHA,Chicago,White Sox,1992,82
CHA,Chicago,White Sox,1993,84
CHA,Chicago,White Sox,1994,53
CHA,Chicago,White Sox,1995,72
CHA,Chicago,White Sox,1996,81
CHA,Chicago,White Sox,1997,81
CHA,Chicago,White Sox,1998,82
CHA,Chicago,White Sox,1999,81
CHA,Chicago,White Sox,2000,83
CHA,Chicago,White Sox,2001,81
CHA,Chicago,White Sox,2002,81
CHA,Chicago,White Sox,2003,81
CHA,Chicago,White Sox,2004,81
CHA,Chicago,White Sox,2005,87
CHA,Chicago,White Sox,2006,81
CHA,Chicago,White Sox,2007,81
CHA,Chicago,White Sox,2008,84
CHA,Chicago,White Sox,2009,81
CHA,Chicago,White Sox,2010,81
CHA,Chicago,White Sox,2011,81
CHA,Chicago,White Sox,2012,81
CHA,Chicago,White Sox,2013,81
CHA,Chicago,White Sox,2014,81
CHA,Chicago,White Sox,2015,81
CHA,Chicago,White Sox,2016,81
CHA,Chicago,White Sox,2017,81
CHA,Chicago,White Sox,2018,81
CHA,Chicago,White Sox,2019,80
CHA,Chicago,White Sox,2020,30
CHA,Chicago,White Sox,2021,83
CHA,Chicago,White Sox,2022,81
CHA,Chicago,White Sox,2023,81
CHA,Chicago,White Sox,2024,81
CHN,Chicago,Cubs,1990,81
CHN,Chicago,Cubs,1991,83
CHN,Chicago,Cubs,1992,81
CHN,Chicago,Cubs,1993,82
CHN,Chicago,Cubs,1994,59
CHN,Chicago,Cubs,1995,72
CHN,Chicago,Cubs,1996,81
CHN,Chicago,Cubs,1997,81
CHN,Chicago,Cubs,1998,83
CHN,Chicago,Cubs,1999,81
CHN,Chicago,Cubs,2000,81
